Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Label
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Consumer Discretionary,1264.3,0.4787,171051,70.72,0.0007,ConsumerD
IBB,iShares Nasdaq Biotechnology ETF,Healthcare,10727.6,0.2986,2891255,156.12,-0.0076,Biotechnology
ARKG,ARK Genomic Revolution ETF,Healthcare,7911.67,2.0758,2088151,103.1,-0.0201,Biotechnology
XBI,SPDR S&P Biotech ETF,Healthcare,7220.59,0.5805,4334504,150.01,-0.0075,Biotechnology
FBT,First Trust Amex Biotechnology Index,Healthcare,2119.6,0.1691,67454,173.87,-0.0037,Biotechnology
KBE,SPDR S&P Bank ETF,Financials,2557.25,-0.0954,3237918,41.46,-0.0058,Banks
KBWB,Invesco KBW Bank ETF,Financials,1309.99,-0.1206,972574,49.48,-0.0044,Banks
JETS,U.S. Global Jets ETF,Industrials,2908.6,-0.2966,5633242,22.16,-0.0036,Airlines
ITA,iShares U.S. Aerospace & Defense ETF,Industrials,2915.13,-0.1417,339023,94.19,-0.0065,Aerospace
XAR,SPDR S&P Aerospace & Defense ETF,Industrials,1262.92,0.0489,99592,113.35,-0.0054,Aerospace
TAN,Invesco Solar ETF,Energy,3703.55,2.3406,1913323,102.8,-0.0115,Solar
SIL,Global X Silver Miners ETF,Materials,1115.6,0.373,409491,45.38,0.0093,Silver
IBUY,Amplify Online Retail ETF,Consumer Discretionary,1466.59,1.2772,217285,116.95,0.0003,Retail
ONLN,ProShares Online Retail ETF,Consumer Discretionary,940.35,1.1691,214194,77.68,-0.0099,Retail
IYT,iShares Transportation Average ETF,Industrials,1512.54,0.1431,222882,220.75,0.0002,Transportation
PHO,Invesco Water Resources ETF,Industrials,1288.83,0.1955,61288,45.96,0.0059,Water
FAN,First Trust ISE Global Wind Energy Index Fund,Energy,379.92,0.5621,217488,22.61,0.0044,Wind
